Región ;Año;Población ocupada (total);Agricultura, ganadería, silvicultura y pesca;Explotación de minas y canteras;Industrias manufactureras;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua;Construcción;Comercio al por mayor y al por menor;Transporte y almacenamiento;Actividades de alojamiento y de servicio de comidas;Información y comunicaciones;Actividades financieras y de seguros;Actividades inmobiliarias;Actividades profesionales, científicas y técnicas;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención de la salud humana y de asistencia social;Actividades artísticas, de entretenimiento y recreativas;Otras actividades de servicios;Actividades de los hogares como empleadores;Actividades de organizaciones y órganos extraterritoriales;No sabe / No responde /3
Región de Arica y Parinacota (AP);2013;98,6180;9,5354;9,6066;7,4413;0,1796;0,4631;4,3740;21,4442;7,8405;5,9357;1,3140;0,8679;0,4233;2,3069;1,4236;6,7018;7,4654;4,1789;0,8032;3,5341;2,7786;0,0000;
Región de Arica y Parinacota (AP);2014;96,7354;8,7085;7,1904;8,8686;0,4298;0,2099;6,3935;18,5548;8,8863;5,7897;1,4949;0,7413;0,5794;2,3421;1,9661;7,3392;7,2282;4,0111;0,6031;3,3794;2,0193;0,0000;
Región de Arica y Parinacota (AP);2015;101,3938;9,6168;8,6007;8,1631;0,3945;0,3161;6,2150;16,1625;8,7238;6,4590;1,3276;1,0052;0,4853;2,2643;2,1489;9,8724;8,7597;4,8215;0,5787;2,2698;3,2023;0,0068;
Región de Arica y Parinacota (AP);2016;103,2324;10,4991;6,2066;6,2647;0,6232;0,5502;8,4930;18,3499;8,7669;5,8174;0,9123;0,9652;0,9792;2,2975;2,5650;9,2268;9,7226;4,5661;0,8514;2,5642;3,0111;0,0000;
Región de Arica y Parinacota (AP);2017;103,6947;9,9374;5,6675;7,4020;0,8550;0,8137;7,8183;16,6452;10,1787;6,5906;0,8490;0,9544;0,5480;2,2345;2,2554;10,0072;10,0416;4,7736;0,9921;2,8398;2,2907;0,0000;
Región de Arica y Parinacota (AP);2018;106,4488;10,8912;5,9924;8,1689;0,4056;0,5109;6,2239;17,9203;9,1430;6,1323;0,9197;0,9507;0,4680;2,2782;1,9854;11,6922;11,9446;5,1351;1,2867;2,2299;2,1698;0,0000;
Región de Arica y Parinacota (AP);2019;112,3819;9,8470;6,0680;8,0381;0,2161;0,6658;8,7861;21,0705;8,4865;7,8109;1,4996;0,9472;0,7055;2,2484;1,9739;11,5607;10,3174;5,5223;1,6976;3,4593;1,4609;0,0000;
Región de Arica y Parinacota (AP);2020;97,7023;10,0035;4,8594;7,5019;0,1781;0,7154;6,0986;16,7878;6,3555;6,8057;1,0257;0,9507;0,6488;2,3946;1,2474;13,0037;10,2801;4,8630;0,5604;2,2252;1,0127;0,0000;0,1841
Región de Arica y Parinacota (AP);2021;104,5396;8,8171;5,4588;7,6471;0,1853;0,6329;8,9382;19,1479;6,4528;5,9922;0,4908;1,0150;0,6895;3,0882;1,7798;13,5710;10,3514;5,0146;0,8911;3,2481;1,0926;0,0000;0,0351
Región de Arica y Parinacota (AP);2022;110,8377;7,6110;5,6692;7,1983;0,2450;0,5285;10,4670;21,9176;7,5298;5,3576;0,5700;0,9588;0,6713;3,4989;1,9043;14,9040;10,5420;5,1618;0,8036;2,9370;2,1757;0,0241;0,1624
Región de Arica y Parinacota (AP);2023;112,9581;7,8023;7,4511;6,9919;0,5130;0,6131;7,5880;22,6478;10,0061;4,9716;0,8786;0,8851;0,8003;2,2681;1,7191;14,5796;12,0035;5,7536;0,6340;2,8673;1,8216;0,0000;0,1623
Región de Arica y Parinacota (AP);2024;115,2665;6,7330;7,9867;6,7312;0,2906;0,6264;8,0193;20,2805;9,8820;6,4960;1,0220;1,4539;1,1448;2,6590;2,0079;14,3690;11,7253;7,4797;1,1937;2,9950;1,5273;0,0445;0,5988
Región de Tarapacá (TA);2013;143,3011;4,6867;10,6277;10,2246;0,4319;0,4189;12,8798;34,3234;12,5107;8,5536;1,2886;2,4631;1,1224;3,4470;2,8862;10,5406;11,0942;6,0191;1,2467;2,5892;5,9211;0,0254;
Región de Tarapacá (TA);2014;146,9763;5,5125;14,2999;10,3737;0,6723;0,6487;11,5863;29,3219;12,9531;8,6668;1,8309;2,5564;2,1399;2,7486;2,4650;11,8004;13,2921;7,4551;1,4409;3,0560;4,1558;0,0000;
Región de Tarapacá (TA);2015;152,5642;5,0800;13,6848;9,7441;0,2316;0,5120;14,6769;31,0932;13,1724;9,8383;1,8719;2,6022;1,5932;3,6966;4,3522;11,0310;13,3832;6,9864;1,1207;3,5349;4,3587;0,0000;
Región de Tarapacá (TA);2016;158,5777;6,8505;11,4716;7,2328;0,3327;0,5754;15,3861;37,5674;14,5610;10,4794;1,1802;2,3359;1,6799;3,6381;3,5485;10,5219;13,3309;6,8708;1,2620;5,4321;4,3205;0,0000;
Región de Tarapacá (TA);2017;161,7110;7,7766;11,3490;6,9705;0,5006;1,7264;13,6500;42,7768;13,3122;8,1242;1,5510;2,5427;1,8249;4,0746;2,9895;10,5168;13,6107;6,8813;1,8033;5,3289;4,4011;0,0000;
Región de Tarapacá (TA);2018;159,7646;10,3383;10,0267;8,3080;0,7891;1,4529;10,0871;40,7026;13,2249;8,8654;1,3378;1,6309;1,7650;3,8381;3,5714;11,3198;15,7337;7,4615;1,8526;3,9194;3,5144;0,0251;
Región de Tarapacá (TA);2019;169,7660;8,5722;13,4671;12,4770;0,7999;0,8673;13,2879;36,5148;14,0941;12,1616;1,0505;1,1988;2,0878;2,9262;4,5171;12,0110;15,7005;8,2650;1,6353;4,6602;3,4443;0,0271;
Región de Tarapacá (TA);2020;151,4184;4,1535;13,5504;8,2488;0,8802;1,8678;10,2042;29,0674;10,5715;10,7846;1,5340;3,0411;1,5933;3,2126;4,3930;18,8380;11,1214;9,3561;0,8362;6,3236;1,5185;0,0000;0,3223
Región de Tarapacá (TA);2021;165,5683;3,9285;14,8238;8,4879;0,7478;1,6606;11,5706;35,5665;12,3009;12,2111;3,0265;2,9069;1,5914;4,1329;4,6137;17,3950;12,2977;9,2590;0,7427;5,4520;2,8270;0,0000;0,0257
Región de Tarapacá (TA);2022;185,2870;4,4211;20,0134;10,4068;0,2607;0,7518;14,6280;47,0519;13,6133;11,1306;2,1611;2,3346;2,8575;3,6738;5,1929;13,4742;13,1683;9,9812;1,1389;5,1544;3,6279;0,0000;0,2447
Región de Tarapacá (TA);2023;190,0554;3,6704;16,2631;13,6931;0,3309;2,0299;14,5996;45,2005;15,9350;10,0292;1,4928;2,4366;2,2155;3,2464;4,6461;16,1435;12,7032;13,3458;1,8274;6,7978;2,8413;0,0000;0,6069
Región de Tarapacá (TA);2024;193,3712;3,5646;15,2093;10,3787;0,4808;1,4433;13,2248;43,3675;14,9830;12,1340;1,9892;1,3064;1,4131;4,3408;3,1927;20,8545;17,5234;15,4098;1,5241;7,2288;3,5134;0,0712;0,2179
Región de Antofagasta (AN);2013;259,5870;4,6485;58,2686;23,6287;3,0583;1,1317;17,0410;44,4089;22,8091;9,2012;2,0455;3,5865;0,8713;7,1769;5,1190;9,3741;21,7288;10,0196;2,7957;6,8533;5,8204;0,0000;
Región de Antofagasta (AN);2014;264,9220;4,4280;54,6690;20,4571;3,8589;2,5945;17,1968;44,4880;22,1873;10,8370;2,8621;4,6004;0,8320;9,2500;5,4040;11,7408;21,7046;10,9427;4,3067;6,6797;5,8824;0,0000;
Región de Antofagasta (AN);2015;270,6754;4,3009;50,1900;19,6867;4,6210;1,3412;17,7945;51,2296;20,9989;13,4264;2,8292;3,1250;0,8612;8,6704;5,5567;12,6181;22,6065;13,9313;3,7189;7,4268;5,7141;0,0280;
Región de Antofagasta (AN);2016;278,6847;3,9363;47,5401;24,7607;3,5222;1,6727;21,4493;54,0273;21,3862;16,6628;2,5606;4,3047;1,1407;7,4239;6,2844;11,7365;19,3919;11,4449;4,6307;8,2267;6,5820;0,0000;
Región de Antofagasta (AN);2017;278,4310;7,7999;51,5177;22,2543;2,7392;2,1274;20,2529;48,7572;18,8129;14,9549;3,3170;3,1717;0,9921;6,5091;5,0472;11,2545;20,6073;15,1284;4,6647;9,3655;9,1570;0,0000;
Región de Antofagasta (AN);2018;299,3643;8,2469;56,1602;17,9084;2,9891;1,8562;20,5549;55,7629;21,5708;18,5434;3,3119;1,9311;2,2428;5,6183;6,6242;13,9797;22,1021;14,7150;5,8696;11,1239;8,2529;0,0000;
Región de Antofagasta (AN);2019;315,0233;8,0517;55,4147;24,5955;3,3749;3,3352;21,7445;60,6828;26,0404;16,9828;3,0098;4,6703;1,4944;7,1250;7,2931;13,1063;19,2035;15,7430;4,8321;10,3478;7,9755;0,0000;
Región de Antofagasta (AN);2020;289,0556;4,0896;49,3078;25,4236;5,3262;3,9693;16,8796;48,2080;24,9317;12,2952;3,5663;3,8826;2,1962;8,5977;11,3914;17,6500;17,5001;15,6084;2,7935;11,0737;4,0984;0,0000;0,2664
Región de Antofagasta (AN);2021;310,3898;4,4919;49,5604;27,3188;4,6521;3,0131;21,0617;54,2322;28,0334;16,9610;3,6130;3,0947;3,5212;10,0559;11,2263;18,2306;18,1620;13,9508;2,4596;10,2990;5,7829;0,0578;0,6110
Región de Antofagasta (AN);2022;327,8776;3,6883;62,3353;25,1600;3,0989;3,9523;22,2202;54,7464;26,6129;16,8445;3,0379;2,4052;3,9810;9,7354;10,9152;18,8313;21,2252;18,2933;3,1901;10,1282;6,7364;0,0525;0,6869
Región de Antofagasta (AN);2023;337,1236;2,5417;62,0233;22,3454;3,9616;5,0958;22,8879;51,4625;28,3525;15,5586;2,9389;2,7193;3,1829;11,2593;10,7399;20,2189;27,8069;20,2375;5,0275;11,7859;6,2458;0,0000;0,7315
Región de Antofagasta (AN);2024;344,3702;3,7310;63,8225;29,1307;4,2577;4,6761;23,3726;53,3169;29,4726;16,3408;3,4259;3,3759;3,0046;9,8063;12,0162;14,3849;24,9559;24,2151;4,1327;11,8290;3,2267;0,0586;1,8174
Región de Atacama (AT);2013;131,7474;9,9287;22,8594;10,9917;1,2475;0,7019;10,0248;23,6214;7,3752;4,7211;1,1874;2,3636;0,6286;2,4130;2,0483;9,1292;10,7810;3,7285;1,2120;2,4517;4,3325;0,0000;
